"Expedition","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm)","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Responsible","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (cm)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)","Dilution factor"
"N-ICE2015","OXI-455","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","HAN-007","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","HAN-008","N-ICE","R/V Lance","Ship CTD-020",20,80.6033,12.5183,1043,13/04/2015 06:05,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","HAN-009","N-ICE","R/V Lance","Ship CTD-023",23,82.9617,16.0517,1931.5,21/04/2015 06:53,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","HAN-010","N-ICE","R/V Lance","Dive tent thick ice",,82.8478,16.5763,1932,22/04/2015 15:30,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","HAN-011","N-ICE","R/V Lance","Ship CTD-024",24,82.4272,15.2857,1377,26/04/2015 14:14,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","SAL-397","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",150,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-398","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-399","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-400","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-401","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-402","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","Ship CTD-017","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",196,,"Water","CTD","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SWN-001","N-ICE","R/V Lance","Dive tent thick ice",,82.9351,16.2825,2138.5,21/04/2015 14:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-002","N-ICE","R/V Lance","Dive tent thick ice",,82.9351,16.2825,2138.5,21/04/2015 14:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-003","N-ICE","R/V Lance","Dive tent thick ice",,82.9351,16.2825,2138.5,21/04/2015 14:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-004","N-ICE","R/V Lance","Dive tent thick ice",,82.9351,16.2825,2138.5,21/04/2015 14:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-005","N-ICE","R/V Lance","Dive tent thick ice",,82.9351,16.2825,2138.5,21/04/2015 14:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","AMM-169","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",399,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-170","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",301,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-171","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",201,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-172","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",150,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-173","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",100,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-174","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",50,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-175","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",26,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-176","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",13,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-177","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",4,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-337","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",100,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-338","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",150,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-339","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",201,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-340","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",301,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-341","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",399,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-342","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",50,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-343","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",26,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-344","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",13,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-345","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",4,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","CHL-181","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",100,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-182","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",50,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-183","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",26,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-184","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",13,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-185","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",4,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","DOX-198","N-ICE","R/V Lance","On-ice CTD-061",61,81.4235,9.1490,1205,16/05/2015 07:44,"On-ice CTD",150,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-197","N-ICE","R/V Lance","On-ice CTD-061",61,81.4235,9.1490,1205,16/05/2015 07:44,"On-ice CTD",200,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-196","N-ICE","R/V Lance","On-ice CTD-061",61,81.4235,9.1490,1205,16/05/2015 07:44,"On-ice CTD",300,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-195","N-ICE","R/V Lance","On-ice CTD-061",61,81.4235,9.1490,1205,16/05/2015 07:44,"On-ice CTD",400,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-194","N-ICE","R/V Lance","On-ice CTD-057",57,81.3710,9.6154,1409.1,12/05/2015 10:08,"On-ice CTD",0,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-193","N-ICE","R/V Lance","On-ice CTD-057",57,81.3710,9.6154,1409.1,12/05/2015 10:08,"On-ice CTD",5,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-192","N-ICE","R/V Lance","On-ice CTD-057",57,81.3710,9.6154,1409.1,12/05/2015 10:08,"On-ice CTD",15,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-191","N-ICE","R/V Lance","On-ice CTD-057",57,81.3710,9.6154,1409.1,12/05/2015 10:08,"On-ice CTD",25,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-190","N-ICE","R/V Lance","On-ice CTD-057",57,81.3710,9.6154,1409.1,12/05/2015 10:08,"On-ice CTD",50,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","HAN-012","N-ICE","R/V Lance","Ship CTD-033",33,81.4186,9.9247,1627,12/05/2015 12:00,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","NUT-421","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",399,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-422","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",301,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-423","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",201,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-424","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",150,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-425","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",100,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-426","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",50,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-427","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",26,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-428","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",13,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-429","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",4,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-456","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",399,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-457","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",301,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-458","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",201,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-459","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",150,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-460","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",100,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-461","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",50,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-462","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",26,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-463","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",13,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-464","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",4,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","HAN-013","N-ICE","R/V Lance","Ship CTD-035",35,81.6649,9.6665,1473,18/05/2015 07:11,"Handnet 20 µm",0,20,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","PHT-076","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","PHT-077","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","PHT-078","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","PHT-079","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-403","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",399,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-404","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",301,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-405","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",201,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","SAL-406","N-ICE","R/V Lance","Ship CTD-018",18,80.5371,13.8386,450,12/04/2015 13:15,"Ship CTD",150,,"Water","Salinity","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
