"Expedition","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm)","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Responsible","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (m)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)"
"N-ICE15","CDO-400","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,
"N-ICE15","CHL-512","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",20,,"Phytoplankton","Pigments","Philipp Assmy","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,750
"N-ICE15","CHL-513","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",15,,"Phytoplankton","Pigments","Philipp Assmy","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,750
"N-ICE15","CHL-514","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",5,,"Phytoplankton","Pigments","Philipp Assmy","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,750
"N-ICE15","CHL-515","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",2,,"Phytoplankton","Pigments","Philipp Assmy","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,750
"N-ICE15","CHL-516","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,200
"N-ICE15","CHL-517","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,200
"N-ICE15","CHL-518","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,200
"N-ICE15","CHL-519","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,200
"N-ICE15","CHL-520","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,200
"N-ICE15","CHL-521","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,200
"N-ICE15","CHL-522","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,200
"N-ICE15","HPL-262","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,200
"N-ICE15","HPL-263","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,200
"N-ICE15","HPL-264","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,200
"N-ICE15","HPL-265","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,200
"N-ICE15","HPL-266","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,200
"N-ICE15","HPL-267","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,200
"N-ICE15","HPL-268","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,200
"N-ICE15","HPL-269","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25.5,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,2280,6.6,200
"N-ICE15","HPL-270","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,1600,7.2,200
"N-ICE15","HPL-271","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25,"Sea ice algae","HPLC pigments","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,2330,6.2,200
"N-ICE15","HPL-272","N-ICE","R/V Lance","Refrozen lead transect",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",,,"Sea ice algae","HPLC pigments","Philipp Assmy","2 cores pooled","Floe 3",,,"Rubble",,,,,,1250,6.2,150
"N-ICE15","IAT-176","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,
"N-ICE15","IAT-177","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,
"N-ICE15","IAT-178","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,
"N-ICE15","IAT-179","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,
"N-ICE15","IAT-180","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,
"N-ICE15","IAT-181","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,
"N-ICE15","IAT-182","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,
"N-ICE15","IAT-183","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25.5,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,2280,6.6,
"N-ICE15","IAT-184","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,1600,7.2,
"N-ICE15","IAT-185","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,2330,6.2,
"N-ICE15","IAT-186","N-ICE","R/V Lance","Refrozen lead transect",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",,,"Sea ice algae","Ice algal taxonomy","Philipp Assmy","2 cores pooled","Floe 3",,,"Rubble",,,,,,1250,6.2,
"N-ICE15","MAA-115","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,200
"N-ICE15","MAA-116","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,200
"N-ICE15","MAA-117","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,200
"N-ICE15","MAA-118","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,200
"N-ICE15","MAA-119","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,200
"N-ICE15","MAA-120","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,200
"N-ICE15","MAA-121","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,200
"N-ICE15","MAA-122","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25.5,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,2280,6.6,200
"N-ICE15","MAA-123","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,1600,7.2,200
"N-ICE15","MAA-124","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,2330,6.2,200
"N-ICE15","MAA-125","N-ICE","R/V Lance","Refrozen lead transect",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",,,"Sea ice algae","Mycosporine-like aminoacids","Philipp Assmy","2 cores pooled","Floe 3",,,"Rubble",,,,,,1250,6.2,150
"N-ICE15","PAB-296","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",20,,"Phytoplankton","Particulate absorption","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,900
"N-ICE15","PAB-297","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",15,,"Phytoplankton","Particulate absorption","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,900
"N-ICE15","PAB-298","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",5,,"Phytoplankton","Particulate absorption","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,900
"N-ICE15","PAB-299","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",2,,"Phytoplankton","Particulate absorption","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,900
"N-ICE15","PAB-300","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,200
"N-ICE15","PAB-301","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,200
"N-ICE15","PAB-302","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,200
"N-ICE15","PAB-303","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,200
"N-ICE15","PAB-304","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,200
"N-ICE15","PAB-305","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,200
"N-ICE15","PAB-306","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","Particulate absorption","Mats Granskog","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,1720,7.2,200
"N-ICE15","DIC-767","N-ICE","R/V Lance","Algal vein 4",,80.4851,7.9322,833.3,17/06/2015 09:00,"Bucket",,,"Infiltration layer","DIC/AT","Philipp Assmy","Algal vein 4 on the way to coring site 1; Lance position taken","Floe 4",,,,,,,,,,13.8,100
"N-ICE15","DIC-768","N-ICE","R/V Lance","Algal vein 5",,80.4851,7.9322,833.3,17/06/2015 09:00,"Bucket",,,"Infiltration layer","DIC/AT","Philipp Assmy","Algal vein 5 50 m out from ROV tent; Lance position taken","Floe 4",,,,,,,,,,21.1,25
"N-ICE15","IAT-349","N-ICE","R/V Lance","Algal vein 4",,80.4851,7.9322,833.3,17/06/2015 09:00,"Bucket",,,"Infiltration layer","Ice algal taxonomy","Philipp Assmy","Algal vein 4 on the way to coring site 1; Lance position taken","Floe 4",,,,,,,,,,13.8,100
"N-ICE15","IAT-350","N-ICE","R/V Lance","Algal vein 5",,80.4851,7.9322,833.3,17/06/2015 09:00,"Bucket",,,"Infiltration layer","Ice algal taxonomy","Philipp Assmy","Algal vein 5 50 m out from ROV tent; Lance position taken","Floe 4",,,,,,,,,,21.1,25
"N-ICE15","PAB-499","N-ICE","R/V Lance","Blank",,80.5162,7.8885,829.9,16/06/2015 00:00,"NO-GEAR",,,"MilliQ","Particulate absorption","Philipp Assmy","MilliQ","Floe 4",,,,,,,,,,,300
"N-ICE15","POC-336","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,200
"N-ICE15","POC-337","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,200
"N-ICE15","POC-338","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,200
"N-ICE15","POC-339","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,200
"N-ICE15","POC-340","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,200
"N-ICE15","POC-341","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","POC/PON","Philipp Assmy","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,200
"N-ICE15","BSI-165","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",0,10,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,2650,5.2,300
"N-ICE15","BSI-166","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",10,20,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,3000,4.8,300
"N-ICE15","BSI-167","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",20,40,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,5425,4.7,300
"N-ICE15","BSI-168","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",40,60,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,5580,3.8,300
"N-ICE15","BSI-169","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",60,80,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,5500,3.1,300
"N-ICE15","BSI-170","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",80,100,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,5550,0.8,300
"N-ICE15","BSI-171","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",100,120,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,5420,0.2,300
"N-ICE15","BSI-172","N-ICE","R/V Lance","Main coring site",,81.2328,9.6369,1431.7,21/05/2015 12:00,"Ice corer 14 cm",120,132,"Sea ice algae","Biogenic silica","Philipp Assmy",,"Floe 3",,,"Bio1",,,132,47,,3440,0.4,300
"N-ICE15","CDO-401","N-ICE","R/V Lance","Refrozen lead transect 4",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25.5,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site4",,,25.5,5.25,,2280,6.6,
"N-ICE15","CDO-402","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,1600,7.2,
"N-ICE15","CDO-403","N-ICE","R/V Lance","Refrozen lead transect 5",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,25,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site5",,,25,5.75,,2330,6.2,
"N-ICE15","CDO-404","N-ICE","R/V Lance","Refrozen lead transect",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",,,"Sea ice algae","CDOM","Mats Granskog","2 cores pooled","Floe 3",,,"Rubble",,,,,,1250,6.2,
"N-ICE15","CDO-405","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",400,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-406","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",300,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-407","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",250,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-409","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",150,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-410","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",100,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-411","N-ICE","R/V Lance","On-ice CTD-067",67,80.9435,8.4871,782.4,23/05/2015 08:17,"On-ice CTD",200,,"Water","CDOM","Mats Granskog","original vial was broken","Floe 3",,,,,,,,,,,
"N-ICE15","CDO-412","N-ICE","R/V Lance","On-ice CTD-068",68,80.9392,8.4875,782.4,23/05/2015 10:41,"On-ice CTD",75,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
"N-ICE15","CDO-413","N-ICE","R/V Lance","On-ice CTD-068",68,80.9392,8.4875,782.4,23/05/2015 10:41,"On-ice CTD",50,,"Water","CDOM","Mats Granskog",,"Floe 3",,,,,,,,,,,
