"Expedition ","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm) from","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Contact person","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (cm)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)"
"N-ICE15","OXY-267","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-268","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-269","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-270","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-257","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-258","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-259","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-260","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-261","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-257","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-258","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-259","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-260","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-261","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-042","N-ICE","R/V Lance","Super Site Coring",,82.0910,19.2530,3379,"12.02.2015 15:41","Ice corer 9 cm",,,"MilliQ","DOC/TDN","Philipp Assmy","MilliQ; Ice core numbers presented as according with with Jago logbook and inverted for compatibility with chemical tracer core with sampling depth increasing from ice surface to sea interface. Coordinates taken from Paul Dodd's logsheet (tracer_cores_sample_info.xls version received in the 17th of Jul 2015) assuming these cores were collected close to ice core 32.","Floe 2",,,"Bio25-27",,,28,,1,,,
"N-ICE15","DOC-045","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",5,5,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-046","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",15,15,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-047","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",25,25,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-048","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",50,50,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-066","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-067","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-068","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-069","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-070","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-071","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-181","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-182","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-183","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-184","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-185","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-186","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-231","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-232","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-234","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-235","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-209","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-210","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-211","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-212","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-213","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-271","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-272","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-273","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-274","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-275","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-262","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-263","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-264","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-265","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-266","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","SAL-267","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","Salinity","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-236","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-237","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-214","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-251","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-252","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",15,15,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-253","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",25,25,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-254","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",50,50,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-255","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",75,75,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","NUT-256","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",100,100,"Water","Nutrients","Paul Dodd; Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-276","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,"02.03.2015 17:17","On-ice CTD",5,5,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-049","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",75,75,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-050","N-ICE","R/V Lance","On-ice CTD-023","023",82.9786,25.6723,3930,02/03/2015 17:17,"On-ice CTD",100,100,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-051","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-052","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-053","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","DOC-054","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","DOC/TDN","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","CHL-056","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Water","Pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","CHL-057","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Water","Pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","CHL-058","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",15,15,"Water","Pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","HPL-052","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Water","HPLC pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","HPL-053","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Water","HPLC pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","HPL-054","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",15,15,"Water","HPLC pigments","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","PAB-065","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Water","Particulate absorption","Mats Granskog",,"Floe 2",,,,,,,,,,,1000
"N-ICE15","PAB-066","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Water","Particulate absorption","Mats Granskog",,"Floe 2",,,,,,,,,,,1000
"N-ICE15","PAB-067","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",15,15,"Water","Particulate absorption","Mats Granskog",,"Floe 2",,,,,,,,,,,1000
"N-ICE15","PHT-040","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","These flasks broke when the fridge opened at rough seas in the 27th of March","Floe 2",,,,,,,,,,,
"N-ICE15","PHT-041","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","PHT-042","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",15,15,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","POC-068","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Water","POC/PON","Philipp Assmy",,"Floe 2",,,,,,,,,,,1000
"N-ICE15","POC-069","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Water","POC/PON","Philipp Assmy",,"Floe 2",,,,,,,,,,,1500
"N-ICE15","POC-070","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",15,15,"Water","POC/PON","Philipp Assmy",,"Floe 2",,,,,,,,,,,1250
"N-ICE15","FCM-064","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Bacteria","Flow cytometry","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","FCM-065","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Bacteria","Flow cytometry","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","FCM-066","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",1,1,"Bacteria","Flow cytometry","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","FCM-067","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,"02.03.2015 19:14","On-ice CTD",5,5,"Bacteria","Flow cytometry","Philipp Assmy",,"Floe 2",,,,,,,,,,,
